14:35:01.002 -> BME680 sensor initialized and calibrated.
14:35:01.530 -> Your module version is: ARD-078 1.2.3
14:35:01.573 -> Your device EUI is: a8610a31353d9218
14:35:07.846 -> BME688_T, DHT_T, BME688_H, DHT_H
14:35:13.240 -> 24.45 23.90 42.59 42.70
14:35:18.614 -> 24.35 24.00 42.56 44.60
14:35:23.976 -> 24.28 24.00 42.56 44.60
14:35:29.366 -> 24.22 24.00 42.55 44.60
14:35:34.736 -> 24.18 24.00 42.53 44.60
14:35:40.119 -> 24.15 24.00 42.52 44.60
14:35:45.473 -> 24.13 24.00 42.50 44.60
14:35:50.867 -> 24.12 24.00 42.45 44.50
14:35:56.243 -> 24.11 24.00 42.41 44.40
14:36:01.619 -> 24.10 24.00 42.38 44.40
14:36:06.987 -> 24.09 23.90 42.34 44.40
14:36:12.332 -> 24.09 23.90 42.33 44.40
14:36:17.744 -> 24.08 23.90 42.34 44.40
14:36:23.109 -> 24.08 23.90 42.37 44.50
14:36:28.499 -> 24.08 23.90 42.40 44.60
14:36:33.835 -> 24.08 23.90 42.43 44.60
14:36:39.252 -> 24.07 23.90 42.45 44.70
14:36:44.623 -> 24.07 23.90 42.46 44.70
14:36:49.989 -> 24.07 23.90 42.46 44.60
14:36:55.377 -> 24.07 23.80 42.43 44.60
14:37:00.757 -> 24.07 23.80 42.39 44.60
14:37:06.107 -> 24.07 23.80 42.37 44.50
14:37:11.486 -> 24.07 23.80 42.37 44.60
14:37:16.878 -> 24.07 23.80 42.38 44.60
14:37:22.258 -> 24.07 23.80 42.39 44.60
14:37:27.631 -> 24.07 23.80 42.39 44.00
14:37:32.987 -> 24.07 23.80 42.39 44.70
14:37:38.384 -> 24.06 23.80 42.39 44.70
14:37:43.741 -> 24.06 23.80 42.37 44.60
14:37:49.131 -> 24.06 23.80 42.37 44.60
14:37:54.512 -> 24.06 23.80 42.37 44.70
14:37:59.893 -> 24.06 23.80 42.39 44.70
14:38:05.249 -> 24.06 23.80 43.61 44.70
14:38:10.641 -> 24.06 23.80 44.18 46.10
14:38:16.007 -> 24.06 23.80 44.00 46.30
14:38:21.390 -> 24.07 23.80 43.64 46.20
14:38:26.751 -> 24.07 23.80 43.36 46.10
14:38:32.128 -> 24.07 23.80 43.16 45.90
14:38:37.520 -> 24.07 23.80 43.04 45.70
14:38:42.897 -> 24.07 23.80 42.98 45.60
14:38:48.256 -> 24.07 23.80 42.89 45.50
14:38:53.635 -> 24.07 23.80 42.82 45.30
14:38:59.021 -> 24.07 23.80 42.74 45.20
14:39:04.383 -> 24.07 23.80 42.70 45.10
14:39:09.777 -> 24.07 23.90 42.65 45.10
14:39:15.153 -> 24.07 23.80 42.64 45.00
14:39:20.530 -> 24.08 23.80 42.61 45.00
14:39:25.890 -> 24.08 23.80 42.59 45.00
14:39:31.280 -> 24.07 23.80 42.55 44.80
14:39:36.647 -> 24.07 23.80 42.49 44.70
14:39:42.009 -> 24.07 23.80 42.44 44.70
14:39:47.404 -> 24.07 23.80 42.40 44.70
14:39:52.779 -> 24.07 23.80 42.39 44.70
14:39:58.157 -> 24.07 23.80 42.40 44.70
14:40:03.516 -> 24.07 23.70 42.42 44.60
14:40:08.904 -> 24.07 23.70 42.42 44.60
14:40:14.265 -> 24.06 23.70 42.43 44.70
14:40:19.657 -> 24.06 23.70 42.44 44.70
14:40:25.037 -> 24.06 23.70 42.46 44.80
14:40:30.414 -> 24.06 23.70 42.48 44.90
14:40:35.792 -> 24.05 23.70 42.48 44.90
14:40:41.151 -> 24.05 23.70 42.48 44.90
14:40:46.544 -> 24.05 23.70 42.47 44.90
14:40:51.893 -> 24.05 23.70 42.45 44.90
14:40:57.288 -> 24.04 23.70 42.42 44.90
14:41:02.669 -> 24.04 23.70 42.41 44.80
14:41:08.024 -> 24.04 23.70 42.39 44.80
14:41:13.413 -> 24.04 23.70 42.39 44.80
14:41:18.789 -> 24.04 23.70 42.39 44.90
14:41:24.161 -> 24.03 23.70 42.38 44.90
14:41:29.525 -> 24.03 23.60 42.40 44.90
14:41:34.918 -> 24.03 23.60 42.45 45.10
14:41:40.277 -> 24.03 23.70 42.50 45.30
14:41:45.648 -> 24.03 23.70 42.54 45.30
14:41:51.034 -> 24.02 23.70 42.55 45.20
14:41:56.393 -> 24.02 23.70 42.56 45.30
14:42:01.771 -> 24.02 23.70 42.57 45.30
14:42:07.164 -> 24.02 23.70 42.59 45.30
14:42:12.537 -> 24.02 23.70 42.62 45.30
14:42:17.920 -> 24.02 23.70 42.67 45.30
14:42:23.290 -> 24.02 23.70 42.74 45.30
